Rank,Game Title,Platform,Year,fa,Publisher,North America,Europe,Japan,Rest of World,Global
69,Donkey Kong Country,SNES,1994,Platform,Nintendo,4.36,1.71,3,0.23,9.3
70,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5.83,2.34,0.13,0.88,9.17
71,Mario Party DS,DS,2007,Misc,Nintendo,4.38,1.83,1.98,0.68,8.88
72,Super Mario Kart,SNES,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76
73,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3.29,2.41,2.35,0.54,8.59
74,Halo 2,XB,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49
75,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,4.73,2.73,0.1,0.8,8.36
76,Wii Party,Wii,2010,Misc,Nintendo,1.74,3.42,2.49,0.68,8.33
77,Mario Party 8,Wii,2007,Misc,Nintendo,3.72,2.18,1.58,0.71,8.19
78,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1.03,4.97,0.13,2.01,8.14
79,GoldenEye 007,N64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09
80,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05
81,Myst,PC,1994,Adventure,Red Orb,4.91,2.79,0,0.33,8.03
82,Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,2.57,3.84,0.66,0.91,7.97
83,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,3.04,1.73,2.69,0.43,7.9
84,Pokemon Black / White Version 2,DS,2012,Role-Playing,Nintendo,2.71,1.63,3.12,0.4,7.86
85,Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86
86,Pac-Man,2600,1982,Puzzle,Atari,7.28,0.45,0,0.08,7.81
87,The Sims 3,PC,2009,Simulation,Electronic Arts,0.81,6.15,0,0.72,7.69
88,Pokemon Platinum Version,DS,2008,Role-Playing,Nintendo,2.74,1.7,2.69,0.54,7.67
89,Animal Crossing: New Leaf,3DS,2012,Action,Nintendo,1.58,1.7,4.04,0.35,7.67
90,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2.88,2.8,0.24,1.74,7.65
91,The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6
92,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58
93,Super Mario Bros. 2,NES,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46
94,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.52,2.28,0.98,0.62,7.4
95,Battlefield 3,X360,2011,Shooter,Electronic Arts,4.39,2.1,0.06,0.68,7.24
96,Call of Duty: World at War,X360,2008,Shooter,Activision,4.69,1.85,0,0.67,7.21
97,Need for Speed Underground,PS2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2
98,Just Dance,Wii,2009,Misc,Ubisoft,3.48,2.97,0,0.73,7.17
99,Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16
100,Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13
101,Battlefield 3,PS3,2011,Shooter,Electronic Arts,2.79,2.86,0.35,1.09,7.09
102,The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3.71,2.09,0.6,0.68,7.08
103,MineCraft,X360,2013,Adventure,Microsoft Game Studios,4.34,2.15,0.02,0.57,7.08
104,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07
105,Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95
106,Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9
107,Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83
108,Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82
109,FIFA Soccer 14,PS3,2013,Sports,Electronic Arts,0.73,4.09,0.07,1.87,6.76
110,Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,4.12,1.9,0.06,0.63,6.72
111,Just Dance 4,Wii,2012,Misc,Ubisoft,4.03,2.12,0,0.55,6.7
112,Zumba Fitness,Wii,2010,Sports,505 Games,3.44,2.57,0,0.66,6.67
113,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,2.7,2.7,0.19,1.05,6.64
114,FIFA Soccer 12,PS3,2011,Sports,Electronic Arts,0.81,4.29,0.11,1.41,6.63
115,Big Brain Academy,DS,2005,Misc,Nintendo,1.66,2.73,1.6,0.62,6.61
116,Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,3.05,2.24,0.28,1.02,6.58
117,Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,3.22,2.16,0.21,0.98,6.57
118,The Legend of Zelda,NES,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51
119,Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43
120,Pokemon Emerald Version,GBA,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41
121,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4
122,Pokemon Crystal Version,GB,2000,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39
