Rank,Game Title,Platform,Year,fa,Publisher,North America,Europe,Japan,Rest of World,Global
270,Namco Museum Vol.3,PS,1996,Misc,Sony Computer Entertainment,2.28,1.55,0.16,0.06,4.05
271,Tekken Tag Tournament,PS2,2000,Fighting,Namco Bandai Games,1.68,1.51,0.51,0.35,4.05
272,Carnival Games,Wii,2007,Misc,Take-Two Interactive,2.11,1.46,0.05,0.42,4.04
273,Forza Motorsport 2,X360,2007,Racing,Microsoft Game Studios,2.33,1.27,0.03,0.41,4.04
274,Star Fox 64,N64,1997,Shooter,Nintendo,2.78,0.58,0.64,0.04,4.03
275,Golf,NES,1984,Sports,Nintendo,1.22,0.28,2.46,0.04,4.01
276,Namco Museum: 50th Anniversary,PS2,2005,Misc,Namco Bandai Games,2.08,1.35,0,0.54,3.98
277,Tomodachi Life,3DS,2013,Simulation,Nintendo,0.66,1.29,1.77,0.23,3.94
278,Professor Layton and the Diabolical Box,DS,2007,Adventure,Nintendo,0.89,1.74,0.92,0.37,3.92
279,Donkey Kong Land,GB,1994,Platform,Nintendo,1.97,0.76,1.07,0.11,3.91
280,Tony Hawk's Underground,PS2,2003,Sports,Activision,2.29,1.17,0.01,0.42,3.9
281,EA Sports Active,Wii,2009,Sports,Electronic Arts,2.08,1.35,0.06,0.4,3.89
282,The Legend of Zelda: Skyward Sword,Wii,2011,Action,Nintendo,1.99,1.14,0.37,0.38,3.88
283,Left 4 Dead 2,X360,2009,Shooter,Electronic Arts,2.6,0.87,0.05,0.36,3.88
284,Tekken 5,PS2,2005,Fighting,Namco Bandai Games,0.93,1.94,0.31,0.7,3.87
285,Dragon Quest III,NES,1988,Role-Playing,Enix Corporation,0.1,0,3.77,0,3.87
286,Nintendo Land,WiiU,2012,Action,Nintendo,2.26,0.89,0.44,0.26,3.85
287,World Soccer Winning Eleven 8 International,PS2,2004,Sports,Konami Digital Entertainment,0.16,1.89,1.12,0.68,3.85
288,MotorStorm,PS3,2006,Racing,Sony Computer Entertainment,1.51,1.6,0.06,0.67,3.84
289,RollerCoaster Tycoon,PC,N/A,Strategy,Microprose,3.82,0.02,0,0,3.84
290,Namco Museum Vol.1,PS,1995,Misc,Sony Computer Entertainment,2.12,1.44,0.22,0.06,3.84
291,The Legend of Zelda: Link's Awakening,GB,1992,Action,Nintendo,2.21,0.96,0.54,0.13,3.83
292,Flash Focus: Vision Training in Minutes a Day,DS,2007,Misc,Nintendo,0.86,1.56,1.05,0.35,3.83
293,Assassin's Creed IV: Black Flag,PS3,2013,Action,Ubisoft,1.2,1.65,0.12,0.84,3.82
294,Fallout: New Vegas,X360,2010,Role-Playing,Bethesda Softworks,2.44,1.01,0.04,0.29,3.79
295,Big Brain Academy: Wii Degree,Wii,2007,Misc,Nintendo,1.05,1.9,0.41,0.43,3.78
296,Call of Duty: Advanced Warfare,PS3,2014,Shooter,Activision,1.31,1.55,0.17,0.74,3.78
297,Resident Evil Director's Cut,PS,1996,Action,Virgin Interactive,1.82,1.24,0.47,0.25,3.77
298,Sports Champions,PS3,2010,Sports,Sony Computer Entertainment,2.07,1.1,0.1,0.49,3.76
299,The Sims: Unleashed,PC,2002,Simulation,Electronic Arts,2.03,1.56,0,0.17,3.76
300,Mario & Luigi: Bowser's Inside Story,DS,2009,Role-Playing,Nintendo,2.21,0.47,0.81,0.26,3.75
301,StarCraft,PC,1998,Strategy,Activision,3.71,0.03,0,0,3.74
302,Harry Potter and the Sorcerer's Stone,PS,2001,Action,Electronic Arts,1.37,2,0.14,0.22,3.73
303,Ratchet & Clank: Size Matters,PSP,2007,Platform,Sony Computer Entertainment,1.39,1.38,0.1,0.86,3.72
304,LEGO Indiana Jones: The Original Adventures,X360,2008,Adventure,Activision,2.37,1,0,0.35,3.72
305,Resident Evil 3: Nemesis,PS,1999,Action,Eidos Interactive,1.3,0.77,1.54,0.11,3.72
306,Spyro: Year of the Dragon,PS,2000,Platform,Sony Computer Entertainment,1.93,1.58,0,0.19,3.71
307,FIFA Soccer 2005,PS2,2004,Sports,Electronic Arts,0.58,2.48,0.04,0.59,3.7
308,Pokemon Trading Card Game,GB,1998,Strategy,Nintendo,1.49,0.73,1.38,0.1,3.7
309,Mario & Sonic at the London 2012 Olympic Games,Wii,2011,Sports,Sega,1.12,1.84,0.27,0.45,3.69
310,Super Paper Mario,Wii,2007,Platform,Nintendo,1.95,0.84,0.59,0.31,3.69
311,The Elder Scrolls V: Skyrim,PC,2011,Role-Playing,Bethesda Softworks,1.11,1.93,0,0.64,3.68
312,Tomodachi Collection,DS,2009,Misc,Nintendo,0,0,3.67,0,3.67
313,Tony Hawk's Pro Skater 4,PS2,2002,Sports,Activision,2.13,1.18,0.01,0.35,3.67
314,Call of Duty: Advanced Warfare,X360,2014,Shooter,Activision,2.39,0.98,0,0.28,3.66
315,MySims,DS,2007,Simulation,Electronic Arts,1.57,1.59,0.08,0.41,3.65
316,Banjo-Kazooie,N64,1998,Platform,Nintendo,1.87,1.13,0.55,0.1,3.65
317,SOCOM: U.S. Navy SEALs,PS2,2002,Shooter,Sony Computer Entertainment,2.53,0.81,0.06,0.24,3.65
318,Jak and Daxter: The Precursor Legacy,PS2,2001,Platform,Sony Computer Entertainment,2.08,1.09,0.15,0.33,3.64
319,Pokemon Snap,N64,1999,Simulation,Nintendo,2.23,0.68,0.66,0.06,3.63
320,Midnight Club 3: DUB Edition,PSP,2005,Racing,Take-Two Interactive,1.64,1.21,0,0.78,3.63
321,Pro Evolution Soccer 2008,PS2,2007,Sports,Konami Digital Entertainment,0.05,0,0.64,2.93,3.63
322,Resident Evil 4,PS2,2005,Action,Capcom,2.08,0.83,0.46,0.25,3.62
323,Guitar Hero: World Tour,Wii,2008,Misc,Activision,2.31,0.95,0,0.35,3.61
324,Star Wars Battlefront,PS2,2004,Shooter,LucasArts,1.93,1.22,0.03,0.44,3.61
325,Doom II,PC,1994,Shooter,Virgin Interactive,2.05,1.4,0,0.16,3.61
326,The Legend of Zelda: Ocarina of Time,3DS,2011,Action,Nintendo,1.74,1.04,0.57,0.26,3.61
327,The Simpsons: Road Rage,PS2,2001,Racing,Electronic Arts,2.02,1.17,0,0.42,3.61
328,Luigi's Mansion,GC,2001,Action,Nintendo,2.38,0.67,0.46,0.1,3.6
329,FIFA Soccer 10,PS3,2009,Sports,Electronic Arts,0.57,2.45,0.05,0.52,3.59
330,Star Wars Battlefront II,PS2,2005,Shooter,LucasArts,2.18,1.02,0.03,0.37,3.59
331,WWF SmackDown!,PS,2000,Fighting,THQ,2.01,1.35,0.06,0.16,3.58
332,Fallout 3,PS3,2008,Role-Playing,Bethesda Softworks,1.92,1.08,0.07,0.51,3.57
333,Cooking Mama 2: Dinner With Friends,DS,2007,Simulation,505 Games,1.6,1.48,0.1,0.39,3.57
334,Croc: Legend of the Gobbos,PS,1997,Platform,Fox Interactive,1.57,1.79,0,0.2,3.56
335,Grand Theft Auto: Liberty City Stories,PS2,2006,Action,Take-Two Interactive,1.56,1.4,0.07,0.5,3.54
336,The Getaway,PS2,2002,Action,Sony Computer Entertainment,1.23,1.77,0.05,0.49,3.54
337,Watch Dogs,PS4,2014,Action,Ubisoft,1.24,1.49,0.1,0.71,3.54
338,Tomb Raider III: Adventures of Lara Croft,PS,1997,Adventure,Eidos Interactive,1.66,1.58,0.12,0.18,3.54
339,James Bond 007: Agent Under Fire,PS2,2001,Shooter,Electronic Arts,1.9,1.13,0.1,0.41,3.53
340,LEGO Star Wars: The Video Game,PS2,2005,Action,Eidos Interactive,1.98,1.14,0.01,0.41,3.53
341,Nintendogs + cats,3DS,2011,Simulation,Nintendo,1.39,1.16,0.72,0.26,3.53
342,Rugrats in Paris: The Movie,PS,2000,Action,THQ,1.96,1.33,0,0.23,3.52
343,Spyro 2: Ripto's Rage!,PS,1999,Platform,Sony Computer Entertainment,2.14,1.21,0.01,0.17,3.52
344,FIFA Soccer 11,X360,2010,Sports,Electronic Arts,0.69,2.39,0.02,0.4,3.51
345,Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,1996,Platform,Nintendo,1.17,0.5,1.75,0.08,3.51
346,Kung Fu,NES,1985,Action,Nintendo,1.64,0.38,1.42,0.06,3.5
347,FIFA Soccer 2004,PS2,N/A,Sports,Electronic Arts,0.59,2.36,0.04,0.51,3.49
348,Just Dance 2014,Wii,2013,Misc,Ubisoft,1.86,1.33,0,0.31,3.49
349,Left 4 Dead,X360,2008,Shooter,Electronic Arts,2.63,0.49,0.05,0.29,3.47
350,Battlefield 4,PS3,2013,Shooter,Electronic Arts,1.2,1.32,0.26,0.68,3.46
351,Diablo,PC,1996,Role-Playing,Activision,1.7,1.58,0,0.17,3.46
352,Guitar Hero: On Tour,DS,2008,Misc,Activision,2.1,1.01,0.01,0.35,3.46
353,Mario & Sonic at the Olympic Winter Games,DS,2009,Sports,Sega,1.2,1.61,0.27,0.38,3.45
354,Clubhouse Games,DS,2006,Misc,Nintendo,0.58,1.78,0.73,0.35,3.44
355,Resident Evil 5,X360,2009,Action,Capcom,2.06,0.92,0.12,0.33,3.44
356,Tekken 4,PS2,2002,Fighting,Namco Bandai Games,1.55,1.27,0.33,0.29,3.44
357,Battlefield: Bad Company 2,X360,2010,Shooter,Electronic Arts,2.07,1,0.04,0.32,3.43
358,Monster Hunter 4,3DS,2013,Role-Playing,Capcom,0,0,3.43,0,3.43
359,Final Fantasy III,SNES,1994,Role-Playing,SquareSoft,0.86,0,2.55,0.02,3.42
360,Grand Theft Auto 2,PS,1998,Adventure,Take-Two Interactive,1.13,2.07,0,0.22,3.42
361,Assassin's Creed: Brotherhood,X360,2010,Action,Ubisoft,2.77,0.38,0.03,0.23,3.41
362,Spider-Man 2,PS2,2004,Action,Activision,1.75,1.2,0.02,0.43,3.41
363,F-1 Race,GB,1990,Racing,Nintendo,1.73,0.69,0.59,0.4,3.41
364,FIFA Soccer 2003,PS2,2002,Sports,Electronic Arts,0.46,2.28,0.05,0.61,3.4
365,Batman: Arkham Asylum,X360,2009,Action,Eidos Interactive,2.13,0.94,0.02,0.29,3.39
366,Crash Bash,PS,2000,Misc,Sony Computer Entertainment,1.56,1.47,0.19,0.17,3.39
367,WWF War Zone,PS,1998,Fighting,Acclaim Entertainment,2.47,0.76,0,0.13,3.36
368,The Legend of Zelda: Majora's Mask,N64,2000,Action,Nintendo,1.9,0.67,0.73,0.06,3.36
369,MineCraft,PS3,2014,Adventure,Sony Computer Entertainment,1.21,1.44,0,0.69,3.34
370,Rugrats: Search For Reptar,PS,1998,Adventure,THQ,1.63,1.53,0,0.18,3.34
371,Borderlands,X360,2009,Shooter,Take-Two Interactive,2.31,0.71,0.03,0.28,3.34
372,English Training: Have Fun Improving Your Skills!,DS,2006,Misc,Nintendo,0,0.99,2.32,0.02,3.33
373,James Bond 007: Nightfire,PS2,2002,Shooter,Electronic Arts,1.45,1.29,0.12,0.46,3.33
374,Ratchet & Clank,PS2,2002,Platform,Sony Computer Entertainment,1.44,1.01,0.57,0.3,3.33
375,Star Wars Episode III: Revenge of the Sith,PS2,2005,Action,LucasArts,1.47,1.39,0.03,0.43,3.32
376,LittleBigPlanet 2,PS3,2011,Platform,Sony Computer Entertainment,1.77,1.03,0.06,0.46,3.31
377,Max Payne,PS2,2001,Shooter,Take-Two Interactive,1.99,1.05,0.05,0.22,3.31
378,LEGO Batman: The Videogame,X360,2008,Adventure,Warner Bros. Interactive Entertainment,1.98,1.01,0,0.31,3.3
379,The Legend of Zelda: Spirit Tracks,DS,2009,Action,Nintendo,1.39,0.9,0.74,0.27,3.29
380,The Lord of the Rings: The Return of the King,PS2,2003,Action,Electronic Arts,1.5,1.28,0.05,0.46,3.28
381,Far Cry 3,PS3,2012,Shooter,Ubisoft,0.83,1.65,0.1,0.7,3.28
382,True Crime: Streets of LA,PS2,2003,Action,Activision,1.89,1.05,0.02,0.31,3.27
383,The Sims 2,PC,2004,Simulation,Electronic Arts,3.09,0.18,0,0,3.27
384,Tekken,PS,1995,Fighting,Sony Computer Entertainment,0.95,1.3,0.77,0.22,3.24
385,Wii Music,Wii,2008,Misc,Nintendo,1.35,1.11,0.46,0.32,3.24
386,Battlefield 4,X360,2013,Shooter,Electronic Arts,2.05,0.91,0.02,0.25,3.23
387,Professor Layton and the Unwound Future,DS,2008,Adventure,Nintendo,0.58,1.55,0.82,0.27,3.23
388,007: Tomorrow Never Dies,PS,1999,Shooter,Electronic Arts,1.72,1.33,0,0.16,3.21
389,Gran Turismo (PSP),PSP,2009,Racing,Sony Computer Entertainment,0.47,1.57,0.31,0.86,3.21
390,Killer Instinct,SNES,1995,Fighting,Nintendo,2.26,0.72,0.12,0.1,3.2
391,Baseball,NES,1983,Sports,Nintendo,0.73,0.1,2.35,0.02,3.2
392,WWF SmackDown! 2: Know Your Role,PS,2000,Fighting,THQ,1.76,1.21,0.07,0.16,3.2
393,Dragon Quest VI: Maboroshi no Daichi,SNES,1995,Role-Playing,Enix Corporation,0,0,3.19,0,3.19
394,Enter the Matrix,PS2,2003,Action,Atari,1.78,1.12,0.09,0.19,3.18
395,Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,Nintendo,1.76,0.62,0.6,0.19,3.18
396,Ace Combat 04: Shattered Skies,PS2,2001,Simulation,Sony Computer Entertainment Europe,2.06,0.56,0.38,0.17,3.17
397,God of War: Chains of Olympus,PSP,2008,Action,Sony Computer Entertainment,1.46,1,0.04,0.66,3.15
398,Animal Crossing,GC,2001,Simulation,Nintendo,1.92,0.16,0.99,0.09,3.15
399,FIFA Soccer 08,PS2,2007,Sports,Electronic Arts,0.68,0,0,2.46,3.14
400,Crisis Core: Final Fantasy VII,PSP,2007,Role-Playing,Square Enix,1.33,0.58,0.8,0.42,3.14
401,Club Penguin: Elite Penguin Force,DS,2008,Adventure,Disney Interactive Studios,1.86,0.97,0,0.3,3.13
402,Spider-Man,PS,2000,Action,Activision,1.7,1.25,0.02,0.16,3.13
403,Need for Speed III: Hot Pursuit,PS,1998,Racing,Electronic Arts,2.14,0.86,0,0.13,3.12
404,Star Wars Episode I Racer,N64,1999,Racing,Nintendo,2.31,0.62,0.14,0.04,3.12
405,Assassin's Creed IV: Black Flag,X360,2013,Action,Ubisoft,1.75,1.1,0.01,0.27,3.12
406,Dragon Quest IV,NES,1990,Role-Playing,Enix Corporation,0.08,0,3.03,0.01,3.12
407,Sonic Rush,DS,2005,Platform,Sega,1.21,1.56,0.06,0.29,3.12
408,Dance Central,X360,2010,Misc,MTV Games,2.1,0.76,0.01,0.25,3.11
409,Youkai Watch 2 Ganso/Honke,3DS,2014,Role-Playing,Level 5,0,0,3.1,0,3.1
410,Personal Trainer: Cooking,DS,2006,Misc,Nintendo,0.89,1,1.03,0.17,3.1
411,L.A. Noire,PS3,2011,Adventure,Take-Two Interactive,1.23,1.25,0.12,0.5,3.1
412,Rhythm Heaven,DS,2008,Misc,Nintendo,0.53,0.5,1.93,0.13,3.1
413,Dragon Ball Z: Budokai,PS2,2002,Fighting,Atari,2.17,0.28,0.55,0.08,3.09
414,Madden NFL 2002,PS2,2001,Sports,Electronic Arts,2.5,0.16,0.01,0.42,3.08
415,World Class Track Meet,NES,1986,Sports,Namco Bandai Games,1.92,0.45,0.64,0.07,3.08
416,Mass Effect 2,X360,2010,Role-Playing,Electronic Arts,1.98,0.8,0.03,0.27,3.08
417,Donkey Kong,GB,1994,Platform,Nintendo,1.57,0.62,0.55,0.34,3.07
418,The Sims: Vacation,PC,2002,Simulation,Electronic Arts,1.72,1.21,0,0.14,3.07
419,Resident Evil 6,PS3,2012,Action,Capcom,0.85,0.92,0.88,0.42,3.07
420,Gran Turismo 6,PS3,2013,Racing,Sony Computer Entertainment,0.5,1.51,0.38,0.67,3.07
421,Assassin's Creed: Unity,PS4,2014,Action,Ubisoft,0.79,1.5,0.07,0.69,3.05
422,The Elder Scrolls IV: Oblivion,PS3,2007,Role-Playing,Ubisoft,1.65,0.84,0.14,0.41,3.03
423,Kung Fu Panda,X360,2008,Platform,Activision,1.9,0.84,0,0.29,3.03
424,Super Mario 3D World,WiiU,2013,Platform,Nintendo,1.48,0.73,0.63,0.19,3.03
425,Rayman,PS,1995,Platform,Ubisoft,1.54,1.33,0,0.16,3.03
426,Tom Clancy's Splinter Cell,XB,2002,Action,Ubisoft,1.85,1.04,0,0.13,3.02
427,Mike Tyson's Punch-Out!!,NES,1987,Fighting,Nintendo,2.03,0.47,0.45,0.07,3.02
428,WWE SmackDown! Shut Your Mouth,PS2,2002,Sports,THQ,1.45,1.13,0.07,0.38,3.02
429,LEGO Batman: The Videogame,Wii,N/A,Adventure,Warner Bros. Interactive Entertainment,1.79,0.94,0,0.28,3.01
430,LEGO Batman: The Videogame,DS,2008,Adventure,Warner Bros. Interactive Entertainment,1.74,0.98,0,0.28,3.01
431,Call of Duty: Ghosts,PS4,2013,Shooter,Activision,1.52,1.18,0.05,0.26,3.01
432,Dragon Ball Z: Budokai Tenkaichi 3,PS2,2007,Fighting,Atari,1.15,0,0.76,1.09,3
433,wwe Smackdown vs. Raw 2006,PS2,N/A,Fighting,N/A,1.57,1.02,0,0.41,3
434,Killzone 2,PS3,2009,Shooter,Sony Computer Entertainment,1.39,1.06,0.08,0.47,3
435,Mario Party 9,Wii,2012,Misc,Nintendo,1.03,0.99,0.75,0.22,2.99
436,Disney Epic Mickey,Wii,2010,Platform,Disney Interactive Studios,2.04,0.62,0.12,0.22,2.99
437,Star Fox,SNES,1993,Shooter,Nintendo,1.61,0.51,0.8,0.07,2.99
438,The Sims: Livin Large,PC,2000,Misc,Electronic Arts,1.67,1.18,0,0.13,2.99
439,World Soccer Winning Eleven 6 International,PS2,2002,Sports,Konami Digital Entertainment,0.12,1.26,1.16,0.45,2.99
440,Devil May Cry,PS2,2001,Action,Capcom,1.36,0.86,0.64,0.13,2.99
441,Mass Effect 3,X360,2012,Role-Playing,Electronic Arts,1.89,0.83,0.03,0.23,2.97
442,Far Cry 4,PS4,2014,Shooter,Ubisoft,0.74,1.49,0.06,0.68,2.97
443,Borderlands 2,X360,2012,Shooter,Take-Two Interactive,1.83,0.87,0.04,0.23,2.96
444,Saints Row 2,X360,2008,Action,THQ,1.88,0.79,0.02,0.27,2.96
445,Sonic Heroes,PS2,2003,Platform,Sega,1.04,1.37,0.06,0.49,2.96
446,Hitman 2: Silent Assassin,PS2,2002,Action,Eidos Interactive,1.36,1.15,0.04,0.41,2.96
447,Heavy Rain,PS3,2010,Adventure,Sony Computer Entertainment,1.25,1.16,0.06,0.49,2.96
448,Far Cry 3,X360,2012,Shooter,Ubisoft,1.35,1.31,0.02,0.27,2.96
449,Wave Race 64,N64,1996,Racing,Nintendo,1.98,0.58,0.34,0.04,2.94
450,SOCOM II: U.S. Navy SEALs,PS2,2003,Shooter,Sony Computer Entertainment,2.22,0.51,0.06,0.15,2.94
451,WWE SmackDown! vs. RAW 2006,PS2,2005,Fighting,THQ,1.45,1.11,0.04,0.33,2.94
452,Pac-Man Collection,GBA,2001,Puzzle,Atari,2.07,0.77,0.05,0.05,2.94
453,Battlefield: Bad Company 2,PS3,2010,Shooter,Electronic Arts,1.3,1.09,0.08,0.44,2.91
454,Super Mario World 2: Yoshi's Island,GBA,2002,Platform,Nintendo,1.75,0.45,0.62,0.09,2.91
455,Kirby Super Star Ultra,DS,2008,Platform,Nintendo,1.54,0.03,1.19,0.15,2.91
456,NBA 2K13,X360,2012,Action,Take-Two Interactive,2.52,0.2,0.01,0.18,2.91
457,Sonic Mega Collection Plus,PS2,2004,Misc,Sega,1.54,1.14,0,0.22,2.9
458,Monster Hunter 4 Ultimate,3DS,2014,Role-Playing,Nintendo,0.25,0.12,2.49,0.03,2.9
459,World Soccer Winning Eleven 7 International,PS2,2003,Sports,Konami Digital Entertainment,0.08,1.24,1.13,0.45,2.9
460,Hot Shots Golf 3,PS2,2001,Sports,Sony Computer Entertainment,0.99,0.32,1.38,0.2,2.89
461,Sega Superstars Tennis,X360,2008,Sports,Sega,1.75,0.86,0,0.28,2.89
462,Call of Duty: Finest Hour,PS2,2004,Shooter,Activision,1.51,1.12,0.01,0.24,2.89
463,Syphon Filter,PS,1999,Shooter,Sony Computer Entertainment,2.03,0.72,0.02,0.11,2.88
464,Cooking Mama: Cook Off,Wii,2007,Simulation,505 Games,1.41,1.12,0.05,0.3,2.88
465,Mass Effect,X360,2007,Role-Playing,Microsoft Game Studios,1.8,0.78,0.03,0.26,2.88
466,WarioWare: Smooth Moves,Wii,2006,Puzzle,Nintendo,0.85,1.04,0.73,0.26,2.88
467,inFAMOUS,PS3,2009,Action,Sony Computer Entertainment,1.73,0.67,0.12,0.35,2.87
468,Imagine: Babyz,DS,2007,Simulation,Ubisoft,1.3,1.26,0,0.31,2.87
469,Colin McRae Rally,PS,1998,Racing,Codemasters,0.09,2.43,0.12,0.22,2.87
470,Diablo II,PC,2000,Role-Playing,Havas Interactive,2.78,0.08,0,0,2.86
471,Fallout: New Vegas,PS3,2010,Role-Playing,Bethesda Softworks,1.36,0.99,0.1,0.42,2.86
472,Street Fighter IV,X360,2009,Fighting,Capcom,1.76,0.69,0.15,0.25,2.86
473,The Elder Scrolls III: Morrowind,XB,2002,Role-Playing,Ubisoft,2.09,0.63,0.03,0.11,2.86
474,Yoshi's Story,N64,1997,Platform,Nintendo,1.29,0.53,0.98,0.05,2.85
475,F-Zero,SNES,1990,Racing,Nintendo,1.37,0.51,0.89,0.07,2.85
476,Command & Conquer: Red Alert,PC,1996,Strategy,Virgin Interactive,1.37,1.34,0,0.14,2.85
477,Doom,PC,1992,Shooter,id Software,1.61,1.12,0,0.13,2.85
478,WWE SmackDown! vs. Raw,PS2,2002,Fighting,THQ,1.32,1.08,0.04,0.39,2.83
479,Metroid Prime,GC,2002,Shooter,Nintendo,1.96,0.67,0.1,0.09,2.82
480,Finding Nemo,GBA,2003,Action,THQ,1.59,1.05,0.04,0.14,2.82
481,Madden NFL 10,X360,2009,Sports,Electronic Arts,2.51,0.09,0,0.22,2.82
482,The Last of Us,PS4,2014,Adventure,Sony Computer Entertainment,1.18,1.05,0.06,0.52,2.81
483,Imagine: Fashion Designer,DS,2007,Simulation,Ubisoft,1.32,1.19,0,0.3,2.8
484,Madden NFL 13,X360,2012,Sports,Electronic Arts,2.48,0.16,0,0.17,2.8
485,Assassin's Creed: Brotherhood,PS3,2010,Action,Ubisoft,1.84,0.55,0.11,0.3,2.8
486,WWE SmackDown! Here Comes the Pain,PS2,2003,Fighting,THQ,1.32,1.06,0.04,0.38,2.8
487,Hot Shots Golf,PS,1997,Sports,Sony Computer Entertainment,0.29,0.2,2.13,0.18,2.79
488,A Bug's Life,PS,1998,Platform,Sony Computer Entertainment,1.96,0.72,0,0.11,2.79
489,WWF SmackDown! Just Bring It,PS2,2001,Fighting,THQ,1.19,1.15,0.04,0.41,2.79
490,Mortal Kombat Trilogy,PS,1996,Fighting,GT Interactive,1.98,0.7,0,0.11,2.79
491,Dragon Quest V: Tenkuu no Hanayome,SNES,1992,Role-Playing,Enix Corporation,0,0,2.78,0.01,2.79
492,NBA Street,PS2,2001,Sports,Electronic Arts,2.19,0.22,0,0.38,2.79
493,BioShock,X360,2007,Shooter,Take-Two Interactive,1.62,0.85,0.05,0.27,2.78
494,Jak II,PS2,2003,Platform,Sony Computer Entertainment,1.68,0.74,0,0.36,2.78
495,Ratchet & Clank: Going Commando,PS2,2003,Platform,Sony Computer Entertainment,1.44,0.83,0.26,0.25,2.78
496,Zumba Fitness 2,Wii,2011,Sports,Majesco Entertainment,1.5,1.01,0,0.27,2.78
497,Medal of Honor,PS3,2010,Shooter,Electronic Arts,1.26,1.03,0.07,0.42,2.78
498,The Sims,PS2,2003,Simulation,Electronic Arts,1.41,1.12,0,0.24,2.77
499,Age of Empires II: The Age of Kings,PC,1999,Strategy,Microsoft Game Studios,2.7,0.07,0,0,2.77
500,Skylanders: Spyro's Adventure,Wii,2011,Action,Activision,1.33,1.12,0,0.31,2.77
501,Missile Command,2600,1980,Shooter,Atari,2.56,0.17,0,0.03,2.76
502,Yoshi's Island DS,DS,2006,Platform,Nintendo,1.44,0.07,1.1,0.15,2.75
503,Mario Paint,SNES,1992,Misc,Nintendo,1.43,0.54,0.71,0.07,2.75
504,Battlefield 3,PC,2011,Shooter,Electronic Arts,0.86,1.39,0,0.49,2.74
505,Need for Speed: Hot Pursuit,PS3,2010,Racing,Electronic Arts,1.03,1.21,0.03,0.47,2.74
506,Need for Speed: Most Wanted - A Criterion Game,PS3,2012,Racing,Electronic Arts,0.67,1.41,0.06,0.6,2.73
507,Pokemon Stadium 2,N64,2000,Strategy,Nintendo,1.02,0.36,1.13,0.23,2.73
508,Metroid,NES,1986,Adventure,Nintendo,1.33,0.31,1.04,0.05,2.73
509,Saints Row: The Third,X360,2011,Action,THQ,1.21,1.14,0.07,0.3,2.72
510,Tekken 6,PS3,2009,Fighting,Namco Bandai Games,1.17,0.95,0.17,0.42,2.71
511,FIFA Soccer 14,PS4,2013,Sports,Electronic Arts,0.55,1.77,0.1,0.3,2.71
512,Star Wars: The Old Republic,PC,2011,Role-Playing,Electronic Arts,1.4,0.94,0,0.36,2.71
513,Sonic and the Secret Rings,Wii,2007,Platform,Sega,1.2,1.19,0.04,0.29,2.71
514,Monster Hunter Tri,3DS,2011,Role-Playing,Nintendo,0.42,0.27,1.96,0.06,2.71
515,Killzone 3,PS3,2011,Shooter,Sony Computer Entertainment,1.4,0.84,0.09,0.37,2.71
516,The Legend of Zelda: A Link to the Past,GBA,2002,Action,Nintendo,1.75,0.52,0.33,0.1,2.7
517,Onimusha: Warlords,PS2,2001,Action,Virgin Interactive,0.99,0.48,1.09,0.14,2.7
518,Mario Party,N64,1998,Misc,Nintendo,1.25,0.53,0.87,0.05,2.7
519,LEGO Star Wars II: The Original Trilogy,PS2,2006,Action,LucasArts,1.85,0.64,0.01,0.19,2.69
520,Star Wars: The Force Unleashed,X360,2008,Action,LucasArts,1.67,0.76,0,0.25,2.68
521,Burnout 3: Takedown,PS2,2004,Racing,Electronic Arts,1.23,1.11,0,0.34,2.68
522,Mortal Kombat,PS3,2011,Fighting,Warner Bros. Interactive Entertainment,1.88,0.51,0,0.29,2.68
523,Call of Duty 3,X360,2006,Shooter,Activision,1.47,0.92,0.02,0.27,2.67
524,Mortal Kombat,GEN,1992,Fighting,Arena Entertainment,1.95,0.63,0,0.09,2.67
525,Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,2010,Puzzle,Nintendo,1.63,0.51,0.35,0.18,2.67
526,Call Of Duty 2: Big Red One,PS2,2005,Shooter,Activision,1.48,0.92,0.01,0.26,2.67
527,Medal of Honor,PS,1998,Shooter,Electronic Arts,1.44,1.09,0,0.14,2.67
528,Fable,XB,2004,Role-Playing,Microsoft Game Studios,1.99,0.58,0,0.09,2.66
529,FIFA 15,X360,2014,Sports,Electronic Arts,0.62,1.74,0,0.3,2.66
530,Madden NFL 12,X360,2011,Sports,Electronic Arts,2.39,0.11,0,0.16,2.66
531,Final Fantasy XIII-2,PS3,2011,Role-Playing,Square Enix,0.78,0.72,0.89,0.26,2.65
532,Hannah Montana,DS,2006,Action,Disney Interactive Studios,1.59,0.8,0,0.26,2.65
533,Tom Clancy's Splinter Cell,PS2,2003,Action,Ubisoft,1.15,1.11,0,0.4,2.65
534,Super Mario Bros.: The Lost Levels,NES,1986,Platform,Nintendo,0,0,2.65,0,2.65
535,Madden NFL 11,X360,2010,Sports,Electronic Arts,2.35,0.12,0,0.18,2.65
536,Star Wars: Shadows of the Empire,N64,1996,Action,Nintendo,2,0.5,0.12,0.03,2.65
537,Need for Speed: Shift,PS3,2009,Racing,Electronic Arts,0.68,1.38,0.04,0.52,2.63
538,Midnight Club: Street Racing,PS2,2000,Racing,Take-Two Interactive,2,0.47,0.02,0.14,2.63
